Time,Date,Time,Temp,Ch1,Ch2,Ch3,Ch4
1,26-06-2024,8:16:52,17.254,9.412,9.345,9.096,9.462
2,26-06-2024,8:16:56,17.254,9.413,9.341,9.094,9.462
3,26-06-2024,8:17:00,17.256,9.407,9.337,9.096,9.46
4,26-06-2024,8:17:04,17.253,9.41,9.335,9.096,9.46
5,26-06-2024,8:17:08,17.255,9.417,9.346,9.097,9.456
6,26-06-2024,8:17:12,17.255,9.417,9.336,9.098,9.459
7,26-06-2024,8:17:16,17.254,9.414,9.34,9.091,9.456
8,26-06-2024,8:17:20,17.253,9.424,9.336,9.09,9.453
9,26-06-2024,8:17:24,17.255,9.42,9.337,9.097,9.459
10,26-06-2024,8:17:28,17.256,9.42,9.337,9.094,9.456
11,26-06-2024,8:17:32,17.26,9.42,9.338,9.104,9.455
12,26-06-2024,8:17:36,17.253,9.412,9.333,9.097,9.455
13,26-06-2024,8:17:40,17.252,9.422,9.336,9.098,9.464
14,26-06-2024,8:17:44,17.257,9.415,9.337,9.107,9.454
15,26-06-2024,8:17:48,17.253,9.416,9.342,9.1,9.455
16,26-06-2024,8:17:52,17.258,9.426,9.337,9.098,9.455
17,26-06-2024,8:17:56,17.253,9.424,9.346,9.108,9.456
18,26-06-2024,8:18:00,17.256,9.425,9.345,9.106,9.466
19,26-06-2024,8:18:04,17.256,9.423,9.346,9.113,9.459
20,26-06-2024,8:18:08,17.259,9.423,9.342,9.104,9.46
21,26-06-2024,8:18:12,17.262,9.423,9.343,9.112,9.457
22,26-06-2024,8:18:16,17.256,9.428,9.345,9.117,9.461
23,26-06-2024,8:18:20,17.258,9.425,9.339,9.113,9.462
24,26-06-2024,8:18:24,17.26,9.428,9.345,9.116,9.457
25,26-06-2024,8:18:28,17.262,9.432,9.351,9.116,9.46
26,26-06-2024,8:18:32,17.261,9.428,9.347,9.119,9.454
27,26-06-2024,8:18:36,17.261,9.437,9.35,9.12,9.458
28,26-06-2024,8:18:40,17.26,9.435,9.354,9.119,9.462
29,26-06-2024,8:18:44,17.258,9.436,9.351,9.128,9.464
30,26-06-2024,8:18:48,17.259,9.434,9.363,9.124,9.459
31,26-06-2024,8:18:52,17.258,9.431,9.357,9.124,9.457
32,26-06-2024,8:18:56,17.258,9.438,9.358,9.132,9.457
33,26-06-2024,8:19:01,17.264,9.434,9.359,9.125,9.447
34,26-06-2024,8:19:05,17.262,9.437,9.357,9.133,9.462
35,26-06-2024,8:19:09,17.262,9.439,9.358,9.123,9.458
36,26-06-2024,8:19:13,17.266,9.435,9.36,9.128,9.45
37,26-06-2024,8:19:17,17.261,9.439,9.356,9.136,9.464
38,26-06-2024,8:19:20,17.264,9.436,9.361,9.141,9.457
39,26-06-2024,8:19:24,17.263,9.438,9.367,9.139,9.463
40,26-06-2024,8:19:28,17.262,9.436,9.367,9.137,9.466
41,26-06-2024,8:19:32,17.261,9.437,9.365,9.145,9.462
42,26-06-2024,8:19:36,17.263,9.447,9.366,9.142,9.461
43,26-06-2024,8:19:40,17.265,9.441,9.365,9.137,9.466
44,26-06-2024,8:19:44,17.265,9.439,9.365,9.14,9.458
45,26-06-2024,8:19:48,17.266,9.439,9.363,9.143,9.461
46,26-06-2024,8:19:52,17.264,9.446,9.365,9.142,9.464
47,26-06-2024,8:19:56,17.266,9.442,9.363,9.144,9.459
48,26-06-2024,8:20:00,17.264,9.449,9.367,9.145,9.466
49,26-06-2024,8:20:04,17.264,9.443,9.368,9.153,9.472
50,26-06-2024,8:20:08,17.268,9.439,9.372,9.152,9.47
51,26-06-2024,8:20:12,17.268,9.443,9.362,9.16,9.466
52,26-06-2024,8:20:16,17.267,9.446,9.369,9.151,9.476
53,26-06-2024,8:20:20,17.269,9.442,9.379,9.158,9.465
54,26-06-2024,8:20:24,17.265,9.451,9.379,9.161,9.473
55,26-06-2024,8:20:28,17.267,9.441,9.374,9.161,9.474
56,26-06-2024,8:20:32,17.267,9.455,9.379,9.166,9.47
57,26-06-2024,8:20:36,17.27,9.449,9.376,9.161,9.472
58,26-06-2024,8:20:40,17.269,9.455,9.387,9.162,9.472
59,26-06-2024,8:20:44,17.27,9.453,9.383,9.166,9.469
60,26-06-2024,8:20:48,17.269,9.456,9.376,9.159,9.467
61,26-06-2024,8:20:52,17.27,9.452,9.381,9.163,9.47
62,26-06-2024,8:20:56,17.27,9.448,9.378,9.171,9.465
63,26-06-2024,8:21:00,17.273,9.447,9.38,9.171,9.471
64,26-06-2024,8:21:04,17.267,9.455,9.382,9.177,9.477
65,26-06-2024,8:21:08,17.27,9.454,9.382,9.179,9.477
66,26-06-2024,8:21:12,17.271,9.456,9.381,9.174,9.48
67,26-06-2024,8:21:16,17.272,9.458,9.381,9.175,9.477
68,26-06-2024,8:21:20,17.273,9.45,9.386,9.17,9.477
69,26-06-2024,8:21:24,17.269,9.457,9.388,9.179,9.485
70,26-06-2024,8:21:28,17.274,9.453,9.374,9.185,9.475
71,26-06-2024,8:21:32,17.275,9.458,9.39,9.184,9.481
72,26-06-2024,8:21:36,17.271,9.46,9.384,9.179,9.476
73,26-06-2024,8:21:40,17.273,9.456,9.386,9.179,9.477
74,26-06-2024,8:21:44,17.274,9.465,9.376,9.177,9.48
75,26-06-2024,8:21:48,17.274,9.461,9.381,9.18,9.481
76,26-06-2024,8:21:52,17.272,9.462,9.386,9.184,9.482
77,26-06-2024,8:21:56,17.274,9.458,9.389,9.185,9.485
78,26-06-2024,8:22:00,17.277,9.46,9.385,9.18,9.48
79,26-06-2024,8:22:04,17.276,9.462,9.396,9.18,9.483
80,26-06-2024,8:22:08,17.276,9.458,9.391,9.186,9.483
81,26-06-2024,8:22:12,17.273,9.463,9.387,9.196,9.479
82,26-06-2024,8:22:16,17.275,9.46,9.396,9.197,9.488
83,26-06-2024,8:22:20,17.276,9.463,9.391,9.198,9.485
84,26-06-2024,8:22:24,17.276,9.463,9.393,9.19,9.49
85,26-06-2024,8:22:29,17.276,9.465,9.391,9.193,9.483
86,26-06-2024,8:22:32,17.278,9.459,9.393,9.191,9.483
87,26-06-2024,8:22:36,17.271,9.463,9.4,9.188,9.482
88,26-06-2024,8:22:40,17.276,9.465,9.399,9.194,9.487
89,26-06-2024,8:22:45,17.279,9.466,9.397,9.19,9.485
90,26-06-2024,8:22:48,17.278,9.462,9.403,9.184,9.486
91,26-06-2024,8:22:52,17.279,9.467,9.399,9.189,9.483
92,26-06-2024,8:22:56,17.278,9.462,9.4,9.194,9.49
93,26-06-2024,8:23:00,17.28,9.465,9.397,9.192,9.484
94,26-06-2024,8:23:05,17.275,9.462,9.401,9.192,9.488
95,26-06-2024,8:23:09,17.279,9.461,9.397,9.19,9.495
96,26-06-2024,8:23:13,17.277,9.463,9.402,9.19,9.489
97,26-06-2024,8:23:17,17.277,9.466,9.407,9.199,9.493
98,26-06-2024,8:23:20,17.28,9.463,9.407,9.186,9.487
99,26-06-2024,8:23:25,17.279,9.466,9.405,9.183,9.491
100,26-06-2024,8:23:29,17.281,9.472,9.402,9.175,9.492
101,26-06-2024,8:23:33,17.282,9.463,9.406,9.175,9.497
102,26-06-2024,8:23:36,17.282,9.465,9.406,9.173,9.495
103,26-06-2024,8:23:41,17.281,9.47,9.403,9.163,9.489
104,26-06-2024,8:23:45,17.281,9.47,9.403,9.164,9.495
105,26-06-2024,8:23:49,17.283,9.459,9.405,9.164,9.499
106,26-06-2024,8:23:53,17.283,9.468,9.405,9.158,9.497
107,26-06-2024,8:23:57,17.283,9.468,9.409,9.15,9.497
108,26-06-2024,8:24:01,17.281,9.464,9.412,9.15,9.498
109,26-06-2024,8:24:05,17.285,9.471,9.409,9.149,9.49
110,26-06-2024,8:24:09,17.279,9.469,9.417,9.148,9.497
111,26-06-2024,8:24:13,17.284,9.465,9.412,9.144,9.497
112,26-06-2024,8:24:17,17.281,9.463,9.412,9.147,9.497
113,26-06-2024,8:24:21,17.285,9.465,9.415,9.14,9.497
114,26-06-2024,8:24:25,17.282,9.468,9.416,9.137,9.495
115,26-06-2024,8:24:29,17.287,9.466,9.419,9.131,9.497
116,26-06-2024,8:24:33,17.287,9.464,9.416,9.131,9.496
117,26-06-2024,8:24:37,17.285,9.469,9.415,9.123,9.503
118,26-06-2024,8:24:41,17.286,9.473,9.412,9.125,9.496
119,26-06-2024,8:24:45,17.286,9.465,9.419,9.119,9.5
120,26-06-2024,8:24:49,17.284,9.469,9.418,9.118,9.496
121,26-06-2024,8:24:53,17.284,9.471,9.419,9.117,9.497
122,26-06-2024,8:24:57,17.284,9.472,9.418,9.115,9.503
123,26-06-2024,8:25:01,17.288,9.469,9.424,9.111,9.504
124,26-06-2024,8:25:05,17.284,9.461,9.418,9.103,9.505
125,26-06-2024,8:25:09,17.285,9.472,9.422,9.1,9.507
126,26-06-2024,8:25:13,17.288,9.467,9.424,9.098,9.507
127,26-06-2024,8:25:17,17.285,9.475,9.417,9.098,9.499
128,26-06-2024,8:25:21,17.286,9.467,9.418,9.095,9.504
129,26-06-2024,8:25:25,17.288,9.465,9.423,9.095,9.509
130,26-06-2024,8:25:29,17.289,9.471,9.424,9.091,9.498
131,26-06-2024,8:25:33,17.286,9.468,9.42,9.087,9.504
132,26-06-2024,8:25:37,17.287,9.473,9.42,9.082,9.507
133,26-06-2024,8:25:41,17.288,9.471,9.424,9.084,9.494
